support,itemsets
0.08862,"frozenset({'total_n_wifi_days=Medium', 'desplazado_hash=B'})"
0.37996,"frozenset({'total_pft_assignment_submissions=Low', 'desplazado_hash=B'})"
0.37948,"frozenset({'total_pft_events=Low', 'desplazado_hash=B'})"
0.38026,"frozenset({'total_pft_visits=Low', 'desplazado_hash=B'})"
0.37932,"frozenset({'desplazado_hash=B', 'total_resource_events=Low'})"
0.16064,"frozenset({'estudios_m_hash=F', 'estudios_p_hash=F'})"
0.08164,"frozenset({'estudios_m_hash=F', 'estudios_p_hash=L'})"
0.07936,"frozenset({'estudios_m_hash=F', 'estudios_p_hash=T'})"
0.06844,"frozenset({'estudios_m_hash=F', 'nota10_hash=High'})"
0.09598,"frozenset({'estudios_m_hash=F', 'nota10_hash=Low'})"
0.07938,"frozenset({'estudios_m_hash=F', 'nota10_hash=Medium'})"
0.21738,"frozenset({'estudios_m_hash=F', 'tipo_ingreso=NAP'})"
0.25644,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Low'})"
0.0748,"frozenset({'estudios_m_hash=F', 'total_n_wifi_days=Medium'})"
0.33194,"frozenset({'estudios_m_hash=F', 'total_pft_assignment_submissions=Low'})"
0.33146,"frozenset({'estudios_m_hash=F', 'total_pft_events=Low'})"
0.33184,"frozenset({'estudios_m_hash=F', 'total_pft_visits=Low'})"
0.3312,"frozenset({'estudios_m_hash=F', 'total_resource_events=Low'})"
0.10594,"frozenset({'estudios_m_hash=L', 'estudios_p_hash=F'})"
0.29786,"frozenset({'estudios_p_hash=L', 'estudios_m_hash=L'})"
0.14198,"frozenset({'nota10_hash=High', 'estudios_m_hash=L'})"
0.08268,"frozenset({'nota10_hash=Low', 'estudios_m_hash=L'})"
0.11708,"frozenset({'nota10_hash=Medium', 'estudios_m_hash=L'})"
0.31608,"frozenset({'estudios_m_hash=L', 'tipo_ingreso=NAP'})"
0.33038,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=L'})"
0.11774,"frozenset({'estudios_m_hash=L', 'total_n_wifi_days=Medium'})"
0.4485,"frozenset({'estudios_m_hash=L', 'total_pft_assignment_submissions=Low'})"
0.4481,"frozenset({'total_pft_events=Low', 'estudios_m_hash=L'})"
0.44868,"frozenset({'total_pft_visits=Low', 'estudios_m_hash=L'})"
0.44766,"frozenset({'estudios_m_hash=L', 'total_resource_events=Low'})"
0.05744,"frozenset({'estudios_m_hash=T', 'estudios_p_hash=F'})"
0.10528,"frozenset({'estudios_p_hash=T', 'estudios_m_hash=T'})"
0.06134,"frozenset({'nota10_hash=Low', 'estudios_m_hash=T'})"
0.1194,"frozenset({'estudios_m_hash=T', 'tipo_ingreso=NAP'})"
0.15784,"frozenset({'total_n_wifi_days=Low', 'estudios_m_hash=T'})"
0.1918,"frozenset({'estudios_m_hash=T', 'total_pft_assignment_submissions=Low'})"
0.19144,"frozenset({'total_pft_events=Low', 'estudios_m_hash=T'})"
0.19176,"frozenset({'total_pft_visits=Low', 'estudios_m_hash=T'})"
0.19152,"frozenset({'estudios_m_hash=T', 'total_resource_events=Low'})"
0.07206,"frozenset({'nota10_hash=High', 'estudios_p_hash=F'})"
0.08992,"frozenset({'nota10_hash=Low', 'estudios_p_hash=F'})"
0.08092,"frozenset({'nota10_hash=Medium', 'estudios_p_hash=F'})"
0.21604,"frozenset({'tipo_ingreso=NAP', 'estudios_p_hash=F'})"
0.25128,"frozenset({'total_n_wifi_days=Low', 'estudios_p_hash=F'})"
0.07568,"frozenset({'estudios_p_hash=F', 'total_n_wifi_days=Medium'})"
0.32748,"frozenset({'total_pft_assignment_submissions=Low', 'estudios_p_hash=F'})"
0.3269,"frozenset({'total_pft_events=Low', 'estudios_p_hash=F'})"
0.32742,"frozenset({'total_pft_visits=Low', 'estudios_p_hash=F'})"
0.32702,"frozenset({'estudios_p_hash=F', 'total_resource_events=Low'})"
0.126,"frozenset({'nota10_hash=High', 'estudios_p_hash=L'})"
0.07766,"frozenset({'nota10_hash=Low', 'estudios_p_hash=L'})"
0.09928,"frozenset({'nota10_hash=Medium', 'estudios_p_hash=L'})"
0.28016,"frozenset({'estudios_p_hash=L', 'tipo_ingreso=NAP'})"
0.29936,"frozenset({'total_n_wifi_days=Low', 'estudios_p_hash=L'})"
0.10246,"frozenset({'estudios_p_hash=L', 'total_n_wifi_days=Medium'})"
0.40228,"frozenset({'estudios_p_hash=L', 'total_pft_assignment_submissions=Low'})"
0.40188,"frozenset({'total_pft_events=Low', 'estudios_p_hash=L'})"
0.4023,"frozenset({'total_pft_visits=Low', 'estudios_p_hash=L'})"
0.40138,"frozenset({'estudios_p_hash=L', 'total_resource_events=Low'})"
0.0677,"frozenset({'nota10_hash=Low', 'estudios_p_hash=T'})"
0.057,"frozenset({'estudios_p_hash=T', 'nota10_hash=Medium'})"
0.1459,"frozenset({'estudios_p_hash=T', 'tipo_ingreso=NAP'})"
0.18262,"frozenset({'total_n_wifi_days=Low', 'estudios_p_hash=T'})"
0.22704,"frozenset({'estudios_p_hash=T', 'total_pft_assignment_submissions=Low'})"
0.22682,"frozenset({'total_pft_events=Low', 'estudios_p_hash=T'})"
0.22714,"frozenset({'total_pft_visits=Low', 'estudios_p_hash=T'})"
0.2266,"frozenset({'estudios_p_hash=T', 'total_resource_events=Low'})"
0.23556,"frozenset({'nota10_hash=High', 'tipo_ingreso=NAP'})"
0.15904,"frozenset({'total_n_wifi_days=Low', 'nota10_hash=High'})"
0.0858,"frozenset({'nota10_hash=High', 'total_n_wifi_days=Medium'})"
0.24524,"frozenset({'nota10_hash=High', 'total_pft_assignment_submissions=Low'})"
0.24472,"frozenset({'total_pft_events=Low', 'nota10_hash=High'})"
0.24532,"frozenset({'total_pft_visits=Low', 'nota10_hash=High'})"
